Customer,Y,X,Demand
Customer 1,9.74,8.18,41
Customer 2,8.14,7.46,62
Customer 3,9.96,3.56,72
Customer 4,5.13,6.51,103
Customer 5,3.72,2.1,2
Customer 6,7.04,0.28,3
Customer 7,1.48,5.23,4
Customer 8,9.72,4.09,78
Customer 9,5.98,7.91,87
Customer 10,0.54,3.2,94
Customer 11,5.39,4.22,118
Customer 12,1.56,2.65,1
Customer 13,9.45,8.58,6
Customer 14,6.74,4.91,3
Customer 15,2.15,6.34,81
Customer 16,5.69,8.04,105
Customer 17,0.8,7.51,156
Customer 18,6.96,2.18,105
Customer 19,6.03,4.35,2
Customer 20,9.48,5.77,7
